forpa,tailo,sampa,ipa,ipa_tone
giauh,kiauh,g-i-au?,k-i-auʔ,k-i_{0}-auʔ_{0}
gien,kian,g-i-En,k-i-en,k-i_{0}-en_{0}
gier,kio,g-i-@,k-i-ə,k-i_{0}-ə_{0}
gierh,kioh,g-i-@?,k-i-əʔ,k-i_{0}-əʔ_{0}
giet,kiat,g-i-Et,k-i-et,k-i_{0}-et_{0}
gih,kih,g-i?,k-iʔ,k-iʔ_{0}
gii,kir,g-1,k-ɨ,k-ɨ_{0}
giin,kirn,g-1n,k-ɨn,k-ɨn_{0}
gik,kik,g-ik,k-ik,k-ik_{0}
gim,kim,g-im,k-im,k-im_{0}
gin,kin,g-in,k-in,k-in_{0}
ging,king,g-iN,k-iŋ,k-iŋ_{0}
ginn,kinn,g-i~,k-ĩ,k-ĩ_{0}
ginnh,kinnh,g-i~?,k-ĩʔ,k-ĩʔ_{0}
giok,kiok,g-i-Ok,k-i-ɔk,k-i_{0}-ɔk_{0}
giong,kiong,g-i-ON,k-i-ɔŋ,k-i_{0}-ɔŋ_{0}
gionn,kionn,g-i~-o~,k-i-ɔ̃,k-i_{0}-ɔ̃_{0}
gip,kip,g-ip,k-ip,k-ip_{0}
git,kit,g-it,k-it,k-it_{0}
giu,kiu,g-i-u,k-i-u,k-i_{0}-u_{0}
giuh,kiuh,g-i-u?,k-i-uʔ,k-i_{0}-uʔ_{0}
giunn,kiunn,g-i~-u~,k-i-ũ,k-i_{0}-ũ_{0}
gng,kng,g-@N,k-ŋ̩,k-ŋ̩_{0}
gngh,kngh,g-@N?,k-ŋ̩ʔ,k-ŋ̩ʔ_{0}
go,koo,g-O,k-ɔ,k-ɔ_{0}
goh,kooh,g-O?,k-ɔʔ,k-ɔʔ_{0}
gok,kok,g-Ok,k-ɔk,k-ɔk_{0}
gong,kong,g-ON,k-ɔŋ,k-ɔŋ_{0}
gonn,konn,g-o~,k-ɔ̃,k-ɔ̃_{0}
gonnh,konnh,g-o~?,k-ɔ̃ʔ,k-ɔ̃ʔ_{0}
gop,kop,g-Op,k-ɔp,k-ɔp_{0}
gu,ku,g-u,k-u,k-u_{0}
gua,kua,g-u-a,k-u-a,k-u_{0}-a_{0}
guah,kuah,g-u-a?,k-u-aʔ,k-u_{0}-aʔ_{0}
guai,kuai,g-u-ai,k-u-ai,k-u_{0}-ai_{0}
guainn,kuainn,g-u~-a~i~,k-u-ãi,k-u_{0}-ãi_{0}
guainnh,kuainnh,g-u~-a~i~?,k-u-ãiʔ,k-u_{0}-ãiʔ_{0}
guak,kuak,g-u-ak,k-u-ak,k-u_{0}-ak_{0}
guan,kuan,g-u-an,k-u-an,k-u_{0}-an_{0}
guann,kuann,g-u~-a~,k-u-ã,k-u_{0}-ã_{0}
guat,kuat,g-u-at,k-u-at,k-u_{0}-at_{0}
gue,kue,g-u-E,k-u-e,k-u_{0}-e_{0}
gueh,kueh,g-u-E?,k-u-eʔ,k-u_{0}-eʔ_{0}
guh,kuh,g-u?,k-uʔ,k-uʔ_{0}
gui,kui,g-u-i,k-u-i,k-u_{0}-i_{0}
guih,kuih,g-u-i?,k-u-iʔ,k-u_{0}-iʔ_{0}
guinn,kuinn,g-u~-i~,k-u-ĩ,k-u_{0}-ĩ_{0}
gun,kun,g-un,k-un,k-un_{0}
gunnh,kunnh,g-u~?,k-ũʔ,k-ũʔ_{0}
gut,kut,g-ut,k-ut,k-ut_{0}
ha,ha,h-a,x-a,x-a_{0}
hah,hah,h-a?,x-aʔ,x-aʔ_{0}
hai,hai,h-ai,x-ai,x-ai_{0}
haih,haih,h-ai?,x-aiʔ,x-aiʔ_{0}
hainn,hainn,h-a~i~,x-ãi,x-ãi_{0}
hainnh,hainnh,h-a~i~?,x-ãiʔ,x-ãiʔ_{0}
hak,hak,h-ak,x-ak,x-ak_{0}
ham,ham,h-am,x-am,x-am_{0}
han,han,h-an,x-an,x-an_{0}
hang,hang,h-aN,x-aŋ,x-aŋ_{0}
hann,hann,h-a~,x-ã,x-ã_{0}
hannh,hannh,h-a~?,x-ãʔ,x-ãʔ_{0}
hap,hap,h-ap,x-ap,x-ap_{0}
hat,hat,h-at,x-at,x-at_{0}
hau,hau,h-au,x-au,x-au_{0}
hauh,hauh,h-au?,x-auʔ,x-auʔ_{0}
haunn,haunn,h-a~u~,x-ãu,x-ãu_{0}
haunnh,haunnh,h-a~u~?,x-ãuʔ,x-ãuʔ_{0}
he,he,h-E,x-e,x-e_{0}
hee,hee,h-,x-ε,x-ε_{0}
heh,heh,h-E?,x-eʔ,x-eʔ_{0}
hen,hian,h-i-En,x-i-en,x-i_{0}-en_{0}
henn,henn,h-e~,x-ẽ,x-ẽ_{0}
hennh,hennh,h-e~?,x-ẽʔ,x-ẽʔ_{0}
her,ho,h-@,x-ə,x-ə_{0}
her,her,h-@,x-ə,x-ə_{0}
herh,hoh,h-@?,x-əʔ,x-əʔ_{0}
het,hiat,h-i-Et,x-i-et,x-i_{0}-et_{0}
hi,hi,h-i,x-i,x-i_{0}
hia,hia,h-i-a,x-i-a,x-i_{0}-a_{0}
hiah,hiah,h-i-a?,x-i-aʔ,x-i_{0}-aʔ_{0}
hiam,hiam,h-i-am,x-i-am,x-i_{0}-am_{0}
hiang,hiang,h-i-aN,x-i-aŋ,x-i_{0}-aŋ_{0}
hiann,hiann,h-i~-a~,x-i-ã,x-i_{0}-ã_{0}
hiannh,hiannh,h-i~-a~?,x-i-ãʔ,x-i_{0}-ãʔ_{0}
hiap,hiap,h-i-ap,x-i-ap,x-i_{0}-ap_{0}
hiau,hiau,h-i-au,x-i-au,x-i_{0}-au_{0}
hiauh,hiauh,h-i-au?,x-i-auʔ,x-i_{0}-auʔ_{0}
hiaunnh,hiaunnh,h-i~-a~u~?,x-i-ãuʔ,x-i_{0}-ãuʔ_{0}
hien,hian,h-i-En,x-i-en,x-i_{0}-en_{0}
hier,hio,h-i-@,x-i-ə,x-i_{0}-ə_{0}
hierh,hioh,h-i-@?,x-i-əʔ,x-i_{0}-əʔ_{0}
hiet,hiat,h-i-Et,x-i-et,x-i_{0}-et_{0}
hih,hih,h-i?,x-iʔ,x-iʔ_{0}
hik,hik,h-ik,x-ik,x-ik_{0}
him,him,h-im,x-im,x-im_{0}
hin,hin,h-in,x-in,x-in_{0}
hing,hing,h-iN,x-iŋ,x-iŋ_{0}
hinn,hinn,h-i~,x-ĩ,x-ĩ_{0}
hinnh,hinnh,h-i~?,x-ĩʔ,x-ĩʔ_{0}
hioh,hiooh,h-i-O?,x-i-ɔʔ,x-i_{0}-ɔʔ_{0}
hiok,hiok,h-i-Ok,x-i-ɔk,x-i_{0}-ɔk_{0}
hiong,hiong,h-i-ON,x-i-ɔŋ,x-i_{0}-ɔŋ_{0}
hionn,hionn,h-i~-o~,x-i-ɔ̃,x-i_{0}-ɔ̃_{0}
hip,hip,h-ip,x-ip,x-ip_{0}
hit,hit,h-it,x-it,x-it_{0}
hiu,hiu,h-i-u,x-i-u,x-i_{0}-u_{0}
hiuh,hiuh,h-i-u?,x-i-uʔ,x-i_{0}-uʔ_{0}
hiunn,hiunn,h-i~-u~,x-i-ũ,x-i_{0}-ũ_{0}
hiunnh,hiunnh,h-i~-u~?,x-i-ũʔ,x-i_{0}-ũʔ_{0}
hm,hm,h-@m,x-m̩,x-m̩_{0}
hmh,hmh,h-@m?,x-m̩ʔ,x-m̩ʔ_{0}
hng,hng,h-@N,x-ŋ̩,x-ŋ̩_{0}
hngh,hngh,h-@N?,x-ŋ̩ʔ,x-ŋ̩ʔ_{0}
ho,hoo,h-O,x-ɔ,x-ɔ_{0}
hoh,hooh,h-O?,x-ɔʔ,x-ɔʔ_{0}
hok,hok,h-Ok,x-ɔk,x-ɔk_{0}
hom,hom,h-Om,x-ɔm,x-ɔm_{0}
hong,hong,h-ON,x-ɔŋ,x-ɔŋ_{0}
honn,honn,h-o~,x-ɔ̃,x-ɔ̃_{0}
honnh,honnh,h-o~?,x-ɔ̃ʔ,x-ɔ̃ʔ_{0}
hop,hop,h-Op,x-ɔp,x-ɔp_{0}
hu,hu,h-u,x-u,x-u_{0}
hua,hua,h-u-a,x-u-a,x-u_{0}-a_{0}
huah,huah,h-u-a?,x-u-aʔ,x-u_{0}-aʔ_{0}
huai,huai,h-u-ai,x-u-ai,x-u_{0}-ai_{0}
huainn,huainn,h-u~-a~i~,x-u-ãi,x-u_{0}-ãi_{0}
huainnh,huainnh,h-u~-a~i~?,x-u-ãiʔ,x-u_{0}-ãiʔ_{0}
huan,huan,h-u-an,x-u-an,x-u_{0}-an_{0}
huang,huang,h-u-aN,x-u-aŋ,x-u_{0}-aŋ_{0}
huann,huann,h-u~-a~,x-u-ã,x-u_{0}-ã_{0}
huannh,huannh,h-u~-a~?,x-u-ãʔ,x-u_{0}-ãʔ_{0}
huat,huat,h-u-at,x-u-at,x-u_{0}-at_{0}
hue,hue,h-u-E,x-u-e,x-u_{0}-e_{0}
hueh,hueh,h-u-E?,x-u-eʔ,x-u_{0}-eʔ_{0}
huenn,huenn,h-u~-e~,x-u-ẽ,x-u_{0}-ẽ_{0}
huh,huh,h-u?,x-uʔ,x-uʔ_{0}
hui,hui,h-u-i,x-u-i,x-u_{0}-i_{0}
huih,huih,h-u-i?,x-u-iʔ,x-u_{0}-iʔ_{0}
huinn,huinn,h-u~-i~,x-u-ĩ,x-u_{0}-ĩ_{0}
hun,hun,h-un,x-un,x-un_{0}
hut,hut,h-ut,x-ut,x-ut_{0}
i,i,i,i,i_{0}
ia,ia,i-a,i-a,i_{0}-a_{0}
iah,iah,i-a?,i-aʔ,i_{0}-aʔ_{0}
iak,iak,i-ak,i-ak,i_{0}-ak_{0}
iam,iam,i-am,i-am,i_{0}-am_{0}
iang,iang,i-aN,i-aŋ,i_{0}-aŋ_{0}
iann,iann,i~-a~,i-ã,i_{0}-ã_{0}
iannh,iannh,i~-a~?,i-ãʔ,i_{0}-ãʔ_{0}
iap,iap,i-ap,i-ap,i_{0}-ap_{0}
iau,iau,i-au,i-au,i_{0}-au_{0}
iaunn,iaunn,i~-a~u~,i-ãu,i_{0}-ãu_{0}
ien,ian,i-En,i-en,i_{0}-en_{0}
ier,io,i-@,i-ə,i_{0}-ə_{0}
ierh,ioh,i-@?,i-əʔ,i_{0}-əʔ_{0}
iet,iat,i-Et,i-et,i_{0}-et_{0}
ih,ih,i?,iʔ,iʔ_{0}
ik,ik,ik,ik,ik_{0}
im,im,im,im,im_{0}
in,in,in,in,in_{0}
ing,ing,iN,iŋ,iŋ_{0}
inn,inn,i~,ĩ,ĩ_{0}
innh,innh,i~?,ĩʔ,ĩʔ_{0}
io,ioo,i-O,i-ɔ,i_{0}-ɔ_{0}
ioh,iooh,i-O?,i-ɔʔ,i_{0}-ɔʔ_{0}
iok,iok,i-Ok,i-ɔk,i_{0}-ɔk_{0}
iong,iong,i-ON,i-ɔŋ,i_{0}-ɔŋ_{0}
ionn,ionn,i~-o~,i-ɔ̃,i_{0}-ɔ̃_{0}
ip,ip,ip,ip,ip_{0}
it,it,it,it,it_{0}
iu,iu,i-u,i-u,i_{0}-u_{0}
iunn,iunn,i~-u~,i-ũ,i_{0}-ũ_{0}
ka,kha,k-a,kʰ-a,kʰ-a_{0}
kah,khah,k-a?,kʰ-aʔ,kʰ-aʔ_{0}
kai,khai,k-ai,kʰ-ai,kʰ-ai_{0}
kaih,khaih,k-ai?,kʰ-aiʔ,kʰ-aiʔ_{0}
kainn,khainn,k-a~i~,kʰ-ãi,kʰ-ãi_{0}
kak,khak,k-ak,kʰ-ak,kʰ-ak_{0}
kam,kham,k-am,kʰ-am,kʰ-am_{0}
kan,khan,k-an,kʰ-an,kʰ-an_{0}
kang,khang,k-aN,kʰ-aŋ,kʰ-aŋ_{0}
kann,khann,k-a~,kʰ-ã,kʰ-ã_{0}
kap,khap,k-ap,kʰ-ap,kʰ-ap_{0}
kat,khat,k-at,kʰ-at,kʰ-at_{0}
kau,khau,k-au,kʰ-au,kʰ-au_{0}
kauh,khauh,k-au?,kʰ-auʔ,kʰ-auʔ_{0}
kaunn,khaunn,k-a~u~,kʰ-ãu,kʰ-ãu_{0}
kaunnh,khaunnh,k-a~u~?,kʰ-ãuʔ,kʰ-ãuʔ_{0}
ke,khe,k-E,kʰ-e,kʰ-e_{0}
keh,kheh,k-E?,kʰ-eʔ,kʰ-eʔ_{0}
ken,khian,k-i-En,kʰ-i-en,kʰ-i_{0}-en_{0}
kenn,khenn,k-e~,kʰ-ẽ,kʰ-ẽ_{0}
kennh,khennh,k-e~?,kʰ-ẽʔ,kʰ-ẽʔ_{0}
ker,kho,k-@,kʰ-ə,kʰ-ə_{0}
ker,kher,k-@,kʰ-ə,kʰ-ə_{0}
kerh,khoh,k-@?,kʰ-əʔ,kʰ-əʔ_{0}
ket,khiat,k-i-Et,kʰ-i-et,kʰ-i_{0}-et_{0}
ki,khi,k-i,kʰ-i,kʰ-i_{0}
kia,khia,k-i-a,kʰ-i-a,kʰ-i_{0}-a_{0}
kiah,khiah,k-i-a?,kʰ-i-aʔ,kʰ-i_{0}-aʔ_{0}
kiai,khiai,k-i-ai,kʰ-i-ai,kʰ-i_{0}-ai_{0}
kiaih,khiaih,k-i-ai?,kʰ-i-aiʔ,kʰ-i_{0}-aiʔ_{0}
kiak,khiak,k-i-ak,kʰ-i-ak,kʰ-i_{0}-ak_{0}
kiam,khiam,k-i-am,kʰ-i-am,kʰ-i_{0}-am_{0}
kiang,khiang,k-i-aN,kʰ-i-aŋ,kʰ-i_{0}-aŋ_{0}
kiann,khiann,k-i~-a~,kʰ-i-ã,kʰ-i_{0}-ã_{0}
kiap,khiap,k-i-ap,kʰ-i-ap,kʰ-i_{0}-ap_{0}
kiau,khiau,k-i-au,kʰ-i-au,kʰ-i_{0}-au_{0}
kiauh,khiauh,k-i-au?,kʰ-i-auʔ,kʰ-i_{0}-auʔ_{0}
kiaunnh,khiaunnh,k-i~-a~u~?,kʰ-i-ãuʔ,kʰ-i_{0}-ãuʔ_{0}
kien,khian,k-i-En,kʰ-i-en,kʰ-i_{0}-en_{0}
kier,khio,k-i-@,kʰ-i-ə,kʰ-i_{0}-ə_{0}
kierh,khioh,k-i-@?,kʰ-i-əʔ,kʰ-i_{0}-əʔ_{0}
kiet,khiat,k-i-Et,kʰ-i-et,kʰ-i_{0}-et_{0}
kih,khih,k-i?,kʰ-iʔ,kʰ-iʔ_{0}
kii,khir,k-1,kʰ-ɨ,kʰ-ɨ_{0}
kik,khik,k-ik,kʰ-ik,kʰ-ik_{0}
kim,khim,k-im,kʰ-im,kʰ-im_{0}
kin,khin,k-in,kʰ-in,kʰ-in_{0}
king,khing,k-iN,kʰ-iŋ,kʰ-iŋ_{0}
kinn,khinn,k-i~,kʰ-ĩ,kʰ-ĩ_{0}
kinnh,khinnh,k-i~?,kʰ-ĩʔ,kʰ-ĩʔ_{0}
kioh,khiooh,k-i-O?,kʰ-i-ɔʔ,kʰ-i_{0}-ɔʔ_{0}
kiok,khiok,k-i-Ok,kʰ-i-ɔk,kʰ-i_{0}-ɔk_{0}
kiong,khiong,k-i-ON,kʰ-i-ɔŋ,kʰ-i_{0}-ɔŋ_{0}
kionn,khionn,k-i~-o~,kʰ-i-ɔ̃,kʰ-i_{0}-ɔ̃_{0}
kip,khip,k-ip,kʰ-ip,kʰ-ip_{0}
kit,khit,k-it,kʰ-it,kʰ-it_{0}
kiu,khiu,k-i-u,kʰ-i-u,kʰ-i_{0}-u_{0}
kiuh,khiuh,k-i-u?,kʰ-i-uʔ,kʰ-i_{0}-uʔ_{0}
kiunn,khiunn,k-i~-u~,kʰ-i-ũ,kʰ-i_{0}-ũ_{0}
kng,khng,k-@N,kʰ-ŋ̩,kʰ-ŋ̩_{0}
kngh,khngh,k-@N?,kʰ-ŋ̩ʔ,kʰ-ŋ̩ʔ_{0}
ko,khoo,k-O,kʰ-ɔ,kʰ-ɔ_{0}
koh,khooh,k-O?,kʰ-ɔʔ,kʰ-ɔʔ_{0}
kok,khok,k-Ok,kʰ-ɔk,kʰ-ɔk_{0}
kong,khong,k-ON,kʰ-ɔŋ,kʰ-ɔŋ_{0}
konn,khonn,k-o~,kʰ-ɔ̃,kʰ-ɔ̃_{0}
ku,khu,k-u,kʰ-u,kʰ-u_{0}
kua,khua,k-u-a,kʰ-u-a,kʰ-u_{0}-a_{0}
kuah,khuah,k-u-a?,kʰ-u-aʔ,kʰ-u_{0}-aʔ_{0}
kuai,khuai,k-u-ai,kʰ-u-ai,kʰ-u_{0}-ai_{0}
kuainn,khuainn,k-u~-a~i~,kʰ-u-ãi,kʰ-u_{0}-ãi_{0}
kuainnh,khuainnh,k-u~-a~i~?,kʰ-u-ãiʔ,kʰ-u_{0}-ãiʔ_{0}
kuan,khuan,k-u-an,kʰ-u-an,kʰ-u_{0}-an_{0}
kuann,khuann,k-u~-a~,kʰ-u-ã,kʰ-u_{0}-ã_{0}
kuat,khuat,k-u-at,kʰ-u-at,kʰ-u_{0}-at_{0}
kue,khue,k-u-E,kʰ-u-e,kʰ-u_{0}-e_{0}
kueh,khueh,k-u-E?,kʰ-u-eʔ,kʰ-u_{0}-eʔ_{0}
kuh,khuh,k-u?,kʰ-uʔ,kʰ-uʔ_{0}
kui,khui,k-u-i,kʰ-u-i,kʰ-u_{0}-i_{0}
kuinn,khuinn,k-u~-i~,kʰ-u-ĩ,kʰ-u_{0}-ĩ_{0}
kun,khun,k-un,kʰ-un,kʰ-un_{0}
kunnh,khunnh,k-u~?,kʰ-ũʔ,kʰ-ũʔ_{0}
kut,khut,k-ut,kʰ-ut,kʰ-ut_{0}
la,la,l-a,l-a,l-a_{0}
lah,lah,l-a?,l-aʔ,l-aʔ_{0}
lai,lai,l-ai,l-ai,l-ai_{0}
laih,laih,l-ai?,l-aiʔ,l-aiʔ_{0}
lak,lak,l-ak,l-ak,l-ak_{0}
lam,lam,l-am,l-am,l-am_{0}
lan,lan,l-an,l-an,l-an_{0}
lang,lang,l-aN,l-aŋ,l-aŋ_{0}
lap,lap,l-ap,l-ap,l-ap_{0}
lat,lat,l-at,l-at,l-at_{0}
lau,lau,l-au,l-au,l-au_{0}
lauh,lauh,l-au?,l-auʔ,l-auʔ_{0}
le,le,l-E,l-e,l-e_{0}
leh,leh,l-E?,l-eʔ,l-eʔ_{0}
len,lian,l-i-En,l-i-en,l-i_{0}-en_{0}
ler,ler,l-@,l-ə,l-ə_{0}
ler,lo,l-@,l-ə,l-ə_{0}
lerh,loh,l-@?,l-əʔ,l-əʔ_{0}
let,liat,l-i-Et,l-i-et,l-i_{0}-et_{0}
li,li,l-i,l-i,l-i_{0}
lia,lia,l-i-a,l-i-a,l-i_{0}-a_{0}
liah,liah,l-i-a?,l-i-aʔ,l-i_{0}-aʔ_{0}
liak,liak,l-i-ak,l-i-ak,l-i_{0}-ak_{0}
liam,liam,l-i-am,l-i-am,l-i_{0}-am_{0}
liang,liang,l-i-aN,l-i-aŋ,l-i_{0}-aŋ_{0}
liap,liap,l-i-ap,l-i-ap,l-i_{0}-ap_{0}
liau,liau,l-i-au,l-i-au,l-i_{0}-au_{0}
liauh,liauh,l-i-au?,l-i-auʔ,l-i_{0}-auʔ_{0}
lien,lian,l-i-En,l-i-en,l-i_{0}-en_{0}
lier,lio,l-i-@,l-i-ə,l-i_{0}-ə_{0}
lierh,lioh,l-i-@?,l-i-əʔ,l-i_{0}-əʔ_{0}
liet,liat,l-i-Et,l-i-et,l-i_{0}-et_{0}
lih,lih,l-i?,l-iʔ,l-iʔ_{0}
lii,lir,l-1,l-ɨ,l-ɨ_{0}
lik,lik,l-ik,l-ik,l-ik_{0}
lim,lim,l-im,l-im,l-im_{0}
lin,lin,l-in,l-in,l-in_{0}
ling,ling,l-iN,l-iŋ,l-iŋ_{0}
lio,lioo,l-i-O,l-i-ɔ,l-i_{0}-ɔ_{0}
lioh,liooh,l-i-O?,l-i-ɔʔ,l-i_{0}-ɔʔ_{0}
liok,liok,l-i-Ok,l-i-ɔk,l-i_{0}-ɔk_{0}
liong,liong,l-i-ON,l-i-ɔŋ,l-i_{0}-ɔŋ_{0}
lionn,lionn,l-i~-o~,l-i-ɔ̃,l-i_{0}-ɔ̃_{0}
lip,lip,l-ip,l-ip,l-ip_{0}
lit,lit,l-it,l-it,l-it_{0}
liu,liu,l-i-u,l-i-u,l-i_{0}-u_{0}
liuh,liuh,l-i-u?,l-i-uʔ,l-i_{0}-uʔ_{0}
lng,lng,l-@N,l-ŋ̩,l-ŋ̩_{0}
lo,loo,l-O,l-ɔ,l-ɔ_{0}
loh,looh,l-O?,l-ɔʔ,l-ɔʔ_{0}
lok,lok,l-Ok,l-ɔk,l-ɔk_{0}
lom,lom,l-Om,l-ɔm,l-ɔm_{0}
long,long,l-ON,l-ɔŋ,l-ɔŋ_{0}
lop,lop,l-Op,l-ɔp,l-ɔp_{0}
lu,lu,l-u,l-u,l-u_{0}
lua,lua,l-u-a,l-u-a,l-u_{0}-a_{0}
luah,luah,l-u-a?,l-u-aʔ,l-u_{0}-aʔ_{0}
luai,luai,l-u-ai,l-u-ai,l-u_{0}-ai_{0}
luaih,luaih,l-u-ai?,l-u-aiʔ,l-u_{0}-aiʔ_{0}
luan,luan,l-u-an,l-u-an,l-u_{0}-an_{0}
luat,luat,l-u-at,l-u-at,l-u_{0}-at_{0}
lue,lue,l-u-E,l-u-e,l-u_{0}-e_{0}
lueh,lueh,l-u-E?,l-u-eʔ,l-u_{0}-eʔ_{0}
luh,luh,l-u?,l-uʔ,l-uʔ_{0}
lui,lui,l-u-i,l-u-i,l-u_{0}-i_{0}
lun,lun,l-un,l-un,l-un_{0}
lut,lut,l-ut,l-ut,l-ut_{0}
m,m,@,m,m_{0}
ma,ma,m-a,m-a,m-a_{0}
mah,mah,m-a?,m-aʔ,m-aʔ_{0}
mai,mai,m-ai,m-ai,m-ai_{0}
mau,mau,m-au,m-au,m-au_{0}
mauh,mauh,m-au?,m-auʔ,m-auʔ_{0}
me,me,m-E,m-e,m-e_{0}
meh,meh,m-E?,m-eʔ,m-eʔ_{0}
mer,mo,m-@,m-ə,m-ə_{0}
merh,moh,m-@?,m-əʔ,m-əʔ_{0}
mh,mh,m-?,m-ʔ,m-ʔ_{0}
mi,mi,m-i,m-i,m-i_{0}
mia,mia,m-i-a,m-i-a,m-i_{0}-a_{0}
miau,miau,m-i-au,m-i-au,m-i_{0}-au_{0}
mih,mih,m-i?,m-iʔ,m-iʔ_{0}
mio,mioo,m-i-O,m-i-ɔ,m-i_{0}-ɔ_{0}
mng,mng,m-@N,m-ŋ̩,m-ŋ̩_{0}
mngh,mngh,m-@N?,m-ŋ̩ʔ,m-ŋ̩ʔ_{0}
mo,moo,m-O,m-ɔ,m-ɔ_{0}
moh,mooh,m-O?,m-ɔʔ,m-ɔʔ_{0}
mong,mong,m-ON,m-ɔŋ,m-ɔŋ_{0}
mu,mu,m-u,m-u,m-u_{0}
mua,mua,m-u-a,m-u-a,m-u_{0}-a_{0}
muah,muah,m-u-a?,m-u-aʔ,m-u_{0}-aʔ_{0}
muai,muai,m-u-ai,m-u-ai,m-u_{0}-ai_{0}
muan,muan,m-u-an,m-u-an,m-u_{0}-an_{0}
mue,mue,m-u-E,m-u-e,m-u_{0}-e_{0}
muh,muh,m-u?,m-uʔ,m-uʔ_{0}
mui,mui,m-u-i,m-u-i,m-u_{0}-i_{0}
na,na,n-a,n-a,n-a_{0}
nah,nah,n-a?,n-aʔ,n-aʔ_{0}
nai,nai,n-ai,n-ai,n-ai_{0}
naih,naih,n-ai?,n-aiʔ,n-aiʔ_{0}
nap,nap,n-ap,n-ap,n-ap_{0}
nau,nau,n-au,n-au,n-au_{0}
nauh,nauh,n-au?,n-auʔ,n-auʔ_{0}
ne,ne,n-E,n-e,n-e_{0}
neh,neh,n-E?,n-eʔ,n-eʔ_{0}
ner,no,n-@,n-ə,n-ə_{0}
ng,ng,@,ŋ,ŋ_{0}
nga,nga,N-a,ŋ-a,ŋ-a_{0}
ngah,ngah,N-a?,ŋ-aʔ,ŋ-aʔ_{0}
ngai,ngai,N-ai,ŋ-ai,ŋ-ai_{0}
ngau,ngau,N-au,ŋ-au,ŋ-au_{0}
ngauh,ngauh,N-au?,ŋ-auʔ,ŋ-auʔ_{0}
nge,nge,N-E,ŋ-e,ŋ-e_{0}
ngeh,ngeh,N-E?,ŋ-eʔ,ŋ-eʔ_{0}
nger,ngo,N-@,ŋ-ə,ŋ-ə_{0}
ngh,ngh,N-?,ŋ-ʔ,ŋ-ʔ_{0}
ngi,ngi,N-i,ŋ-i,ŋ-i_{0}
ngia,ngia,N-i-a,ŋ-i-a,ŋ-i_{0}-a_{0}
ngiah,ngiah,N-i-a?,ŋ-i-aʔ,ŋ-i_{0}-aʔ_{0}
ngiau,ngiau,N-i-au,ŋ-i-au,ŋ-i_{0}-au_{0}
ngiauh,ngiauh,N-i-au?,ŋ-i-auʔ,ŋ-i_{0}-auʔ_{0}
ngih,ngih,N-i?,ŋ-iʔ,ŋ-iʔ_{0}
ngiu,ngiu,N-i-u,ŋ-i-u,ŋ-i_{0}-u_{0}
ngiuh,ngiuh,N-i-u?,ŋ-i-uʔ,ŋ-i_{0}-uʔ_{0}
ngo,ngoo,N-O,ŋ-ɔ,ŋ-ɔ_{0}
ngua,ngua,N-u-a,ŋ-u-a,ŋ-u_{0}-a_{0}
